Category,Question,AnswerA,AnswerB,A_score,B_score
X,내 자취생활 중 자취방의 비중은 얼마나 될까?,대부분의 시간을 밖에서 보낸다,많은 시간을 자취방 안에서 보낸다,7,7
X,"바쁜 하루를 보내고 돌아온 자취방, 뭐부터 할까?",식사와 빨래 등 필수적인 게 우선이지!,집에 돌아왔는데 일단 쉬고 싶어! 침대 속으로,7,0
X,혼자 자취를 하다 보면 나는...,너무 즐겁다! 마음대로 지내다 보면 다른 생각이 나지 않는다,조금 외롭다. 친구나 동물과 함께할 수 있으면 좋겠다,5,0
엉망진창 자취방,내 자취방은...,내가 정한 대로 잘 정리되어 있다,완전 엉망진창... 청소한 지 오래된 것 같다,0,10
텅텅 빈 냉장고,식사는 하루에 몇 끼나 먹었더라?,한 끼 정도? 밥 대신 간식으로 때울 때도 있어!,아침저녁으로 꼬박꼬박 잘 챙겨 먹어야지!,0,7
텅텅 빈 냉장고,냉장고를 열어보면 들어있는 음식은?,다양한 식재료가 들어있다,"물이나 음료수, 인스턴트류가 들어있다",7,0
텅텅 빈 냉장고,요리는 얼마나 자주 했었지?,자취하면서 요리하기는 너무 어려워! 거의 안한다,그래도 밥심이지! 잘 해먹는 편이다,0,7
엉망진창 자취방,집에 손님이 온대! 어떤 준비를 해야 할까?,큰일났다! 당장 대청소 시작이야!,음~ 이 정도면 간단하게만 치우면 되겠는걸?,0,10
냄새 폴폴 빨래더미,"자취 중엔 매번 번거로운 빨래, 얼마나 자주 해줄까?",매주 토요일은 빨래하는 날! 주기적으로 세탁기를 돌린다,아직은 괜찮지 않을까? 빨래 바구니가 넘칠 때까지 미룬다,10,0
냄새 폴폴 빨래더미,입을 옷이 부족해서 난처했던 적은 있어?,본가보다 옷 보관할 데도 적고... 빨래를 미뤘더니 입을 옷이 없어,다음날 입을 정도로는 준비해 두니까 걱정없어,0,10
잔고 없는 지갑,"아껴 쓴다고 써도 모자란 생활비, 평소 어떻게 사용해?",미리 여윳돈을 머릿속으로 생각해 두고 쓰는 게 좋아,어떻게든 되겠지! 난 마음가는대로 쓸 때 행복해,10,0
잔고 없는 지갑,자취하게 된 이후로 외식이나 배달 음식을 먹는 횟수는 얼마나 변했을까?,그러고보니 자취하고 나서 잔뜩 사먹고 말았네...,예전이랑 그렇게 달라진 건 없는걸? 오히려 줄어든 것 같기도,0,10